エネルギー(kcal),2750
パントテン酸,0.0048
ビタミンＢ６,0.0012
ビオチン,0.00005
葉酸,0.00024
ビタミンB12,0.0000024
ビタミンＣ,0.1
ビタミンＤ,0.00000552
ビタミンＥ,0.00632
ビタミンＫ,0.00015
ビタミンB1,0.0015
ビタミンB2,0.0017
カルシウム,0.68
クロム,0.00001
銅,0.0009
ヨウ素,0.00013
鉄,0.0068
マグネシウム,0.32
マンガン,0.0038
モリブデン,0.000025
リン,0.9
カリウム,2.8
セレン,0.000028
ナトリウム,2.9
亜鉛,0.0088
食物繊維,19.2
タンパク質,65
